name,retinue,weapon,shield,armor,ranged,tiltyard,size,tags,playstyle,wins,losses,mut_wipe,indecisive,n_battles,win_rate,loss_rate,decisive_rate,decisive_win_rate,avg_self_survivors,avg_opp_survivors,kill_efficiency,upkeep_per_retinue,army_upkeep,wins_per_1000_upkeep,military_pursuit_count,domain_count,pursuits
Lev/FarmTools/Kite/Leather [Outr:once],Levy,Farm Tools,Kite Shield,Leather,,False,50,Outrider: once,Random,1,75911,16572,1566,94050,0.0000,0.8071,0.9833,0.0000,0.83,35.10,-34.27,600,30000,0.03,7,13,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Tannery
Lev/HuntBow/Leather [Outr:once],Levy,,,Leather,Hunting Bow,False,50,Outrider: once,Random,14,76106,16379,1551,94050,0.0001,0.8092,0.9835,0.0002,0.83,32.95,-32.13,600,30000,0.47,7,10,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Tannery
Lev/Cudgel/Leather [Outr:every],Levy,Cudgel,,Leather,,False,50,Outrider: every,Random,43,71562,15657,6788,94050,0.0005,0.7609,0.9278,0.0006,2.30,32.18,-29.88,800,40000,1.07,7,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Tannery
Lev/FarmTools/Leather [Outr:every],Levy,Farm Tools,,Leather,,False,50,Outrider: every,Random,18,71424,15700,6908,94050,0.0002,0.7594,0.9265,0.0003,2.35,34.82,-32.47,800,40000,0.45,7,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Tannery
Lev/FarmTools/Kite/Leather [Outr:every],Levy,Farm Tools,Kite Shield,Leather,,False,50,Outrider: every,Random,10,71157,15861,7022,94050,0.0001,0.7566,0.9253,0.0001,2.38,34.47,-32.10,600,30000,0.33,9,13,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Outrider Mastery|Tannery
Lev/HuntBow/Leather [Outr:every],Levy,,,Leather,Hunting Bow,False,50,Outrider: every,Random,139,71292,15636,6983,94050,0.0015,0.7580,0.9258,0.0019,2.37,31.83,-29.45,600,30000,4.63,9,10,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Outrider Mastery|Tannery
Lev/Cudgel/Leather [Rend],Levy,Cudgel,,Leather,,False,50,Rend,Random,5,88622,29966,857,119450,0.0000,0.7419,0.9928,0.0001,0.27,30.12,-29.85,600,30000,0.17,5,6,Animal Husbandry|Carpentry|Joinery|MWRend|Tannery
Lev/FarmTools/Kite/Leather [Rend],Levy,Farm Tools,Kite Shield,Leather,,False,50,Rend,Random,0,88174,30419,857,119450,0.0000,0.7382,0.9928,0.0000,0.27,31.35,-31.08,400,20000,0.00,5,6,Animal Husbandry|Carpentry|Joinery|MWRend|Tannery
Lev/HuntBow/Leather [Rend],Levy,,,Leather,Hunting Bow,False,50,Rend,Random,15,88548,30003,884,119450,0.0001,0.7413,0.9926,0.0002,0.28,29.45,-29.17,400,20000,0.75,5,6,Animal Husbandry|Carpentry|Fletchery|MWRend|Tannery
"Lev/Cudgel/Leather [Outr:once, Rend]",Levy,Cudgel,,Leather,,False,50,"Outrider: once,Rend",Random,6,76135,16363,1546,94050,0.0001,0.8095,0.9836,0.0001,0.82,32.94,-32.12,600,30000,0.20,6,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Tannery
"Lev/FarmTools/Leather [Outr:once, Rend]",Levy,Farm Tools,,Leather,,False,50,"Outrider: once,Rend",Random,2,76172,16343,1533,94050,0.0000,0.8099,0.9837,0.0000,0.82,35.14,-34.33,600,30000,0.07,6,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Tannery
"Lev/FarmTools/Kite/Leather [Outr:once, Rend]",Levy,Farm Tools,Kite Shield,Leather,,False,50,"Outrider: once,Rend",Random,5,75894,16620,1531,94050,0.0001,0.8070,0.9837,0.0001,0.81,34.71,-33.90,400,20000,0.25,8,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Tannery
"Lev/HuntBow/Leather [Outr:once, Rend]",Levy,,,Leather,Hunting Bow,False,50,"Outrider: once,Rend",Random,15,76078,16295,1662,94050,0.0002,0.8089,0.9823,0.0002,0.89,32.48,-31.60,400,20000,0.75,8,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Tannery
"Lev/Cudgel/Leather [Outr:every, Rend]",Levy,Cudgel,,Leather,,False,50,"Outrider: every,Rend",Random,51,71360,15632,7007,94050,0.0005,0.7587,0.9255,0.0007,2.38,31.58,-29.19,600,30000,1.70,8,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery
"Lev/FarmTools/Leather [Outr:every, Rend]",Levy,Farm Tools,,Leather,,False,50,"Outrider: every,Rend",Random,20,71434,15700,6896,94050,0.0002,0.7595,0.9267,0.0003,2.33,34.40,-32.08,600,30000,0.67,8,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery
"Lev/FarmTools/Kite/Leather [Outr:every, Rend]",Levy,Farm Tools,Kite Shield,Leather,,False,50,"Outrider: every,Rend",Random,16,71270,15937,6827,94050,0.0002,0.7578,0.9274,0.0002,2.34,34.00,-31.66,400,20000,0.80,10,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery
"Lev/HuntBow/Leather [Outr:every, Rend]",Levy,,,Leather,Hunting Bow,False,50,"Outrider: every,Rend",Random,126,71358,15634,6932,94050,0.0013,0.7587,0.9263,0.0018,2.37,31.23,-28.87,400,20000,6.30,10,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery
Lev/FarmTools/Leather,Levy,Farm Tools,,Leather,,False,50,,Random,1,88659,29916,874,119450,0.0000,0.7422,0.9927,0.0000,0.27,32.10,-31.83,200,10000,0.10,5,3,Animal Husbandry|Butchery|Levy Hall|Smokehouse|Tannery
Lev/FarmTools/Leather [Rend],Levy,Farm Tools,,Leather,,False,50,Rend,Random,0,88575,30028,847,119450,0.0000,0.7415,0.9929,0.0000,0.26,31.80,-31.54,200,10000,0.00,5,6,Animal Husbandry|Butchery|MWRend|Smokehouse|Tannery
Lev/Cudgel/Cloth [Poison],Levy,Cudgel,,Cloth,,False,50,Poison,Random,7,89106,29510,827,119450,0.0001,0.7460,0.9931,0.0001,0.26,29.55,-29.29,800,40000,0.17,5,9,Carpentry|Joinery|Levy Hall|Toxicarium
Lev/FarmTools/Wooden/Cloth [Poison],Levy,Farm Tools,Wooden Shield,Cloth,,False,50,Poison,Random,4,88631,29912,903,119450,0.0000,0.7420,0.9924,0.0000,0.28,31.65,-31.37,600,30000,0.13,5,9,Carpentry|Joinery|Levy Hall|Toxicarium
Lev/HuntBow/Cloth [Poison],Levy,,,Cloth,Hunting Bow,False,50,Poison,Random,37,89045,29499,869,119450,0.0003,0.7455,0.9927,0.0004,0.27,28.10,-27.83,600,30000,1.23,5,6,Carpentry|Fletchery|Levy Hall|Toxicarium
"Lev/Cudgel/Cloth [Poison, Outr:once]",Levy,Cudgel,,Cloth,,False,50,"Outrider: once,Poison",Random,15,76396,16128,1511,94050,0.0002,0.8123,0.9839,0.0002,0.81,32.09,-31.29,1000,50000,0.30,5,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Toxicarium
"Lev/FarmTools/Cloth [Poison, Outr:once]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: once,Poison",Random,21,76200,16236,1593,94050,0.0002,0.8102,0.9831,0.0003,0.85,33.37,-32.52,1000,50000,0.42,5,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Toxicarium
"Lev/FarmTools/Wooden/Cloth [Poison, Outr:once]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: once,Poison",Random,0,76171,16290,1589,94050,0.0000,0.8099,0.9831,0.0000,0.84,34.87,-34.03,800,40000,0.00,7,13,Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Toxicarium
"Lev/HuntBow/Cloth [Poison, Outr:once]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: once,Poison",Random,53,76234,16189,1574,94050,0.0006,0.8106,0.9833,0.0007,0.84,30.73,-29.89,800,40000,1.32,7,10,Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Toxicarium
"Lev/Cudgel/Cloth [Poison, Outr:every]",Levy,Cudgel,,Cloth,,False,50,"Outrider: every,Poison",Random,58,71501,15596,6895,94050,0.0006,0.7602,0.9267,0.0008,2.32,30.35,-28.02,1000,50000,1.16,7,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/FarmTools/Cloth [Poison, Outr:every]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: every,Poison",Random,112,71580,15484,6874,94050,0.0012,0.7611,0.9269,0.0016,2.36,32.30,-29.94,1000,50000,2.24,7,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/FarmTools/Wooden/Cloth [Poison, Outr:every]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: every,Poison",Random,23,71438,15662,6927,94050,0.0002,0.7596,0.9263,0.0003,2.30,33.91,-31.61,800,40000,0.57,9,13,Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/HuntBow/Cloth [Poison, Outr:every]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: every,Poison",Random,266,71528,15270,6986,94050,0.0028,0.7605,0.9257,0.0037,2.40,29.13,-26.73,800,40000,6.65,9,10,Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/Cudgel/Cloth [Poison, Rend]",Levy,Cudgel,,Cloth,,False,50,"Poison,Rend",Random,8,89161,29390,891,119450,0.0001,0.7464,0.9925,0.0001,0.27,29.14,-28.86,800,40000,0.20,5,9,Carpentry|Joinery|MWRend|Toxicarium
"Lev/FarmTools/Wooden/Cloth [Poison, Rend]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Poison,Rend",Random,3,88579,29975,893,119450,0.0000,0.7416,0.9925,0.0000,0.29,31.31,-31.02,600,30000,0.10,5,9,Carpentry|Joinery|MWRend|Toxicarium
"Lev/HuntBow/Cloth [Poison, Rend]",Levy,,,Cloth,Hunting Bow,False,50,"Poison,Rend",Random,44,89138,29442,826,119450,0.0004,0.7462,0.9931,0.0005,0.26,27.56,-27.30,600,30000,1.47,5,9,Carpentry|Fletchery|MWRend|Toxicarium
"Lev/Cudgel/Cloth [Poison, Outr:once, Rend]",Levy,Cudgel,,Cloth,,False,50,"Outrider: once,Poison,Rend",Random,11,76271,16216,1552,94050,0.0001,0.8110,0.9835,0.0001,0.83,31.52,-30.69,800,40000,0.28,6,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Toxicarium
"Lev/FarmTools/Cloth [Poison, Outr:once, Rend]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: once,Poison,Rend",Random,15,76252,16201,1582,94050,0.0002,0.8108,0.9832,0.0002,0.84,32.92,-32.08,800,40000,0.38,6,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Toxicarium
"Lev/FarmTools/Wooden/Cloth [Poison, Outr:once, Rend]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: once,Poison,Rend",Random,2,76179,16327,1542,94050,0.0000,0.8100,0.9836,0.0000,0.82,34.45,-33.63,600,30000,0.07,8,16,Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Toxicarium
"Lev/HuntBow/Cloth [Poison, Outr:once, Rend]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: once,Poison,Rend",Random,45,76265,16180,1560,94050,0.0005,0.8109,0.9834,0.0006,0.84,30.05,-29.21,600,30000,1.50,8,16,Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Toxicarium
"Lev/Cudgel/Cloth [Poison, Outr:every, Rend]",Levy,Cudgel,,Cloth,,False,50,"Outrider: every,Poison,Rend",Random,83,71604,15502,6861,94050,0.0009,0.7613,0.9270,0.0012,2.30,29.57,-27.27,800,40000,2.08,8,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/FarmTools/Cloth [Poison, Outr:every, Rend]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: every,Poison,Rend",Random,106,71439,15455,7050,94050,0.0011,0.7596,0.9250,0.0015,2.37,31.72,-29.35,800,40000,2.65,8,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/FarmTools/Wooden/Cloth [Poison, Outr:every, Rend]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: every,Poison,Rend",Random,27,71404,15729,6890,94050,0.0003,0.7592,0.9267,0.0004,2.34,33.44,-31.10,600,30000,0.90,10,16,Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Outrider Mastery|Toxicarium
"Lev/HuntBow/Cloth [Poison, Outr:every, Rend]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: every,Poison,Rend",Random,256,71502,15322,6970,94050,0.0027,0.7603,0.9259,0.0036,2.39,28.31,-25.92,600,30000,8.53,10,16,Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Outrider Mastery|Toxicarium
Lev/Cudgel/Leather [Poison],Levy,Cudgel,,Leather,,False,50,Poison,Random,15,88636,29930,869,119450,0.0001,0.7420,0.9927,0.0002,0.27,29.33,-29.06,600,30000,0.50,5,6,Animal Husbandry|Levy Hall|Tannery|Toxicarium
Lev/FarmTools/Leather [Poison],Levy,Farm Tools,,Leather,,False,50,Poison,Random,19,88569,30002,860,119450,0.0002,0.7415,0.9928,0.0002,0.28,30.24,-29.97,600,30000,0.63,5,6,Animal Husbandry|Levy Hall|Tannery|Toxicarium
Lev/FarmTools/Kite/Leather [Poison],Levy,Farm Tools,Kite Shield,Leather,,False,50,Poison,Random,14,88137,30486,813,119450,0.0001,0.7379,0.9932,0.0002,0.26,29.66,-29.40,600,30000,0.47,6,6,Animal Husbandry|Carpentry|Joinery|Tannery|Toxicarium
Lev/HuntBow/Leather [Poison],Levy,,,Leather,Hunting Bow,False,50,Poison,Random,44,88556,29975,875,119450,0.0004,0.7414,0.9927,0.0005,0.28,27.90,-27.62,600,30000,1.47,6,3,Animal Husbandry|Carpentry|Fletchery|Tannery|Toxicarium
"Lev/Cudgel/Leather [Poison, Outr:once]",Levy,Cudgel,,Leather,,False,50,"Outrider: once,Poison",Random,9,76143,16323,1575,94050,0.0001,0.8096,0.9833,0.0001,0.84,31.94,-31.11,800,40000,0.23,7,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Tannery|Toxicarium
"Lev/FarmTools/Leather [Poison, Outr:once]",Levy,Farm Tools,,Leather,,False,50,"Outrider: once,Poison",Random,21,76129,16330,1570,94050,0.0002,0.8095,0.9833,0.0003,0.84,33.26,-32.43,800,40000,0.53,7,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Tannery|Toxicarium
"Lev/FarmTools/Kite/Leather [Poison, Outr:once]",Levy,Farm Tools,Kite Shield,Leather,,False,50,"Outrider: once,Poison",Random,20,75965,16504,1561,94050,0.0002,0.8077,0.9834,0.0003,0.83,32.81,-31.97,600,30000,0.67,9,13,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Tannery|Toxicarium
"Lev/HuntBow/Leather [Poison, Outr:once]",Levy,,,Leather,Hunting Bow,False,50,"Outrider: once,Poison",Random,33,76094,16326,1597,94050,0.0004,0.8091,0.9830,0.0004,0.85,30.60,-29.75,600,30000,1.10,9,10,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Tannery|Toxicarium
"Lev/Cudgel/Leather [Poison, Outr:every]",Levy,Cudgel,,Leather,,False,50,"Outrider: every,Poison",Random,74,71256,15646,7074,94050,0.0008,0.7576,0.9248,0.0010,2.40,30.24,-27.84,800,40000,1.85,9,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Tannery|Toxicarium
"Lev/FarmTools/Leather [Poison, Outr:every]",Levy,Farm Tools,,Leather,,False,50,"Outrider: every,Poison",Random,113,71322,15606,7009,94050,0.0012,0.7583,0.9255,0.0016,2.39,32.20,-29.80,800,40000,2.83,9,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery|Tannery|Toxicarium
"Lev/Cudgel/Leather [Poison, Rend]",Levy,Cudgel,,Leather,,False,50,"Poison,Rend",Random,11,88561,29945,933,119450,0.0001,0.7414,0.9922,0.0001,0.29,28.88,-28.59,600,30000,0.37,5,9,Animal Husbandry|MWRend|Tannery|Toxicarium
"Lev/FarmTools/Leather [Poison, Rend]",Levy,Farm Tools,,Leather,,False,50,"Poison,Rend",Random,20,88577,29950,903,119450,0.0002,0.7415,0.9924,0.0002,0.29,29.86,-29.57,600,30000,0.67,5,9,Animal Husbandry|MWRend|Tannery|Toxicarium
"Lev/FarmTools/Kite/Leather [Poison, Rend]",Levy,Farm Tools,Kite Shield,Leather,,False,50,"Poison,Rend",Random,20,88078,30481,871,119450,0.0002,0.7374,0.9927,0.0002,0.28,29.27,-28.98,400,20000,1.00,7,9,Animal Husbandry|Carpentry|Joinery|MWRend|Tannery|Toxicarium
"Lev/HuntBow/Leather [Poison, Rend]",Levy,,,Leather,Hunting Bow,False,50,"Poison,Rend",Random,48,88550,29943,909,119450,0.0004,0.7413,0.9924,0.0005,0.29,27.36,-27.07,400,20000,2.40,7,9,Animal Husbandry|Carpentry|Fletchery|MWRend|Tannery|Toxicarium
"Lev/Cudgel/Leather [Poison, Outr:once, Rend]",Levy,Cudgel,,Leather,,False,50,"Outrider: once,Poison,Rend",Random,22,76170,16313,1545,94050,0.0002,0.8099,0.9836,0.0003,0.82,31.36,-30.53,600,30000,0.73,8,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Tannery|Toxicarium
"Lev/FarmTools/Leather [Poison, Outr:once, Rend]",Levy,Farm Tools,,Leather,,False,50,"Outrider: once,Poison,Rend",Random,17,76100,16314,1619,94050,0.0002,0.8091,0.9828,0.0002,0.86,32.78,-31.92,600,30000,0.57,8,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Tannery|Toxicarium
"Lev/FarmTools/Kite/Leather [Poison, Outr:once, Rend]",Levy,Farm Tools,Kite Shield,Leather,,False,50,"Outrider: once,Poison,Rend",Random,20,75959,16528,1543,94050,0.0002,0.8076,0.9836,0.0003,0.82,32.27,-31.44,400,20000,1.00,10,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Tannery|Toxicarium
"Lev/HuntBow/Leather [Poison, Outr:once, Rend]",Levy,,,Leather,Hunting Bow,False,50,"Outrider: once,Poison,Rend",Random,39,76135,16327,1549,94050,0.0004,0.8095,0.9835,0.0005,0.83,29.90,-29.07,400,20000,1.95,10,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Tannery|Toxicarium
"Lev/Cudgel/Leather [Poison, Outr:every, Rend]",Levy,Cudgel,,Leather,,False,50,"Outrider: every,Poison,Rend",Random,69,71349,15567,7065,94050,0.0007,0.7586,0.9249,0.0010,2.38,29.51,-27.12,600,30000,2.30,10,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery|Toxicarium
"Lev/FarmTools/Leather [Poison, Outr:every, Rend]",Levy,Farm Tools,,Leather,,False,50,"Outrider: every,Poison,Rend",Random,114,71363,15661,6912,94050,0.0012,0.7588,0.9265,0.0016,2.33,31.57,-29.24,600,30000,3.80,10,16,Animal Husbandry|Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery|Toxicarium
"Lev/Cudgel/Cloth [ApoHeal, Regen 5, Reroll]",Levy,Cudgel,,Cloth,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll",Random,13,85921,32619,897,119450,0.0001,0.7193,0.9925,0.0002,0.31,27.13,-26.82,800,40000,0.33,5,12,Apothecary|Carpentry|Hospitaller|Infirmary|Joinery|Levy Hall
