-1 to Strike | Attackers Striking this shield-bearer take -1 to the Strike roll.
Cipher Chamber | Pursuit (Power). Innate: Once/turn when a player Sends an Envoy: that player must declare the specific Action they would Perform if the Envoy Passes (including sub-Actions). If it Passes, they must Perform that declared Action. . / Mastery: Once/turn: select any active Timer you did not select last turn; increase it by 1.
Citadel | Pursuit (Power). Innate: Siege Timer +1 / Mastery: Siege Timer +1, Controlled Settlements gain Reach +1
City / Settlement (tier 3). Tax 6000, muster 50, build 3, wards 3, reach 3. 
Cleave | On a natural 6 to Strike, you may roll an additional Strike die at your modified Strike value.
Cloth | Armor (Crude). Save 6+. Keywords: none.
Coliseum | Pursuit (Civic). Innate: Faith +1 while at War / Mastery: Unlocks Man-at-Arms for Muster
College of Engineering | Pursuit (Power). Innate: No Upkeep on Sophisticated Infrastructure / Mastery: Build Timer −2
Colossus | Wonder. Upkeep 200 (per Wonder). You may support your own prowess envoys before other players vote. Armies move Speed +2 Siege Timer -2 gain Immune Blocked.
combat | See 'how to attack'. Battles use the Escalation skirmish system.
Common Land | Pursuit (Raw Materials). Innate: +500, Natural, Doubt +1
Condemned | An Envoy whose net Influence is -3 or less: it fails and you resolve that Domain's Condemn effect.
Conditioning Field | Pursuit (Civic). Innate: Faith +1 while not at War / Mastery: Armies gain +1 Maximum Endurance
Contested | Territory that is within Reach of more than one player's settlement(s). Considered Controlled by all Players that have a Settlement within Reach.
Controlled | Territory that is within Reach of a single Player's Settlement(s).
Cost / Pay | Cost to perform an action, usually in Gold or Doubt.
Council Envoy | A free Envoy resolved in the Council Phase on the voted Domain; auto-Abstained, net Influence floored at 1.
Council Phase | Before Personal Envoys, all players vote on a Domain (clockwise; Host breaks ties). Each then sends a free Council Envoy of that Domain. Council Envoys auto-Abstain and their net Influence cannot drop below 1.
Courier Network | Pursuit (Civic). Innate: Once/turn: Influence −1 on Target Envoy / Mastery: Once/turn: successfully Performed Personal Envoy can be Performed next turn; send 1 fewer Envoys next turn
Court Artists | Pursuit (Civic). Innate: Extort 500; Faith +1 / Mastery: Extort 500; Target of Extort gains Faith +1
Courtyard | Pursuit (Civic). Innate: +200 / Mastery: Faith +1
Crossbow | Ranged weapon (Forged). AP -4, Init +0. Keywords: Deadly, Unwieldy, Unstoppable, Deflect.
Cudgel | Melee weapon (Crude). AP -1, Init -1. Keywords: 2H, Unwieldy.
Cunning / Domain standing. Rising: Clandestine Councilor: Once per turn, when another player's Envoy is Sent, target a player - that player Abstains.; Established: Grand Vizier: Players may not target you with Cunning Envoys if your Cunning value is higher.; Sovereign: Master Conspirator: Once per turn, if your non-Cunning Envoy passes or is Endorsed, you may instead perform a Cunning action.
Daggers | Melee weapon (Cast). AP 0, Init +1. Keywords: Nimble, 2H, Deadly.
Deadly | On a natural 6 to Strike, increase the AP by -5. Can only be Parried or Recovered on a natural 6.
Deflect | Ranged Strikes are -1 to Parry and can never be Riposted.
Demand Tribute | Coerce gold or concessions from another player (Prowess).
Destroy Shield | On a natural 6 to Strike, target loses Shield attributes for the rest of the Battle.
Diplomacy | Free Envoy actions for forming and ending Treaties and Trade Agreements; resolved before Domain Envoys.
Dirt Roads | Infrastructure (Primitive). Upkeep 0 (per Settlement), build 2. Can Trade; place Dirt Road Territories; ignore Terrain Speed Modifiers
Domain | One of the four identities — Industry, Prowess, Cunning, Piety — raised by spending Domain points. Values 3/6/10 = Rising/Established/Sovereign Standing.
Domain Point | Gained 1 per Rest Phase; spend to raise a Domain value by 1.
domains | The domains: Industry, Prowess, Cunning, Piety. Standings (Rising/Established/Sovereign) grant empire effects.
Doubt X | Gain X Doubt: each Doubt lowers your Public Order track by 1 when resolved.
Drilled | Does not lose Endurance in the first Skirmish of each Battle.
Dual-equip | Carry two weapons at once (e.g. melee + ranged). Granted by the Tiltyard, which also gives Unwieldy until its mastery removes it.
easy factions | See 'low difficulty factions'.
Edict | A scoring achievement / win path: reach a Sovereign Standing, complete a Monument, or fulfill a victory condition (Wonder, wealth, Vassalize, Living Saints, Last Standing).
edicts | The win paths / scoring achievements: Sovereign Standing, complete a Monument, Wonder, wealth, Vassalize, Living Saints, Last Standing.
Embassy | Pursuit (Civic). Innate: Influence +1 to Diplomacy Envoys
Eminence / Era. Renown 18, armies 3, cities 2, influence/turn 3, envoys: Personal Envoys perform 2 actions of that domain. Unlocks: May form Military Alliances
Endorsed | An Envoy that passes with high net Influence, triggering its endorsed effect (and a Domain's Rising/Established/Sovereign endorsement).
Endurance | A side's stamina. Each side that fights loses 1 per Skirmish; at 0 it becomes Fatigued.
Envoy | The currency of actions: send an Envoy to perform an action during the Envoy Phase. Council Envoys act on the voted Domain; Personal Envoys are sent by Era progression.
Episcopal Court | Pursuit (Civic). Innate: Faith +1 / Mastery: +200
era | Eras are the empire's growth stages: Founding -> Ascension -> Eminence -> Zenith. Each raises Renown, armies, cities, influence, and envoys.
eras | Eras are the empire's growth stages: Founding -> Ascension -> Eminence -> Zenith.
Execution Dock | Pursuit (Civic). Innate: Influence -1 to Foster Rebellion actions targeting your settlements / Mastery: Players who target you or your settlements with actions that cause doubt gain Doubt +1
Extort X | Take X from the stated source: the gold goes to you instead of its owner.
factions | 40 factions. Filter by 'low/medium/high difficulty factions' or 'low/medium/high strength factions', or ask a faction by name.
Fail | An unsuccessful to Hit or to Save.
Failed | Net Influence 0 or less.
Faith X | Gain X Faith: each Faith raises your Public Order track by 1 when resolved.
Fall / Season (Harvest). Husbandry Mastery Effects are doubled.
Fall Back | A controlled retreat that ends the Battle with at least one retinue left — a partial success.
Farm Tools | Melee weapon (Crude). AP 0, Init +0. Keywords: none.
Fatigue Token | Each token is -1 to your Strike, Parry, and Recover rolls, to a maximum of 6+; and Morale -1 (uncapped). If your modified Morale is ever 7+, your army Routs. Tokens stack.
Fatigued | A side at 0 Endurance. It cannot Parry, Riposte or Recover; each Skirmish its field takes a Break check, then it gains a Fatigue token.
Field | Your retinues in play — front line (up to 10) plus reserve (up to 5). Casualties leave the field at once, lowering its count.
Fishmongery | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Flail | Melee weapon (Wrought). AP -2, Init -1. Keywords: Cleave.
Fletchery | Pursuit (Craft). Innate: Unlocks Ranged Weapons / Mastery: Upkeep -200
Forestry | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Forge | Pursuit (Power). Innate: +300 / Mastery: Unlocks Forged Tier
Forgery Workshop | Pursuit (Power). Innate: Extort 200 anytime a player Opposes an Envoy of yours / Mastery: Once/turn: attempt another Cunning Envoy targeting a different player if your Cunning Envoy Failed
Forgotten Catacombs | Pursuit (Secrecy). Mastery: Cunning actions against you cannot be Endorsed
Founding / Era. Renown 0, armies 1, cities 0, influence/turn 1, envoys: 1 Council + 1 Personal Envoy per turn. Unlocks: 
Full Plate | Armor (Forged). Save 3+. Keywords: none.
Furnace | Pursuit (Craft). Innate: Unlocks Cast Weapons / Mastery: +200
Garrison | Infrastructure (Developed). Upkeep 50/100/200 (per Settlement), build 3. Local Armies form (10/20/30 by Settlement size). All Garrisons share Equipment. Cannot be targeted; may Sally Forth.
Gilded Foundry | Pursuit (Craft). Innate: Planishing: Your to Save modifier cannot be reduced beyond 6+. / Mastery: Unlock Plate Armor; Craft +1
Gothic Plate | Armor (Crafted). Save 2+. Keywords: none.
Granary | Pursuit (Civic). Innate: +200 / Mastery: Armies and Garrisons gain Endurance while Besieged
Grand Tournament | Pursuit (Civic). Innate: Faith +1; Improve Parry by 1 / Mastery: 3x/turn: exchange 500 gold for 1 Influence; Armies gain Riposte
Halberd | Melee weapon (Wrought). AP -3, Init +0. Keywords: 2H.
Hamlet / Settlement (tier 0). Tax 0, muster 0, build 1, wards 3, reach 1. Husbandry pursuits only; exactly range 2 from capital; may always pursue Arable Land
Harbor | Pursuit (Craft). Innate: +300; Craft +2 / Mastery: Extort 200 per player without Harbor
hard factions | See 'high difficulty factions'.
Heal X | At the end of each Skirmish, for every X casualties you took from Strikes, return 1 retinue to your Army.
Heater Shield | Shield (Crafted). Save +1, Init +0. Keywords: -1 to Strike, Immune Destroy Shield.
Herb Garden | Pursuit (Husbandry). Innate: +200, Natural
High Chancery | Wonder. Upkeep 200 (per Wonder). Once per turn: automatically Condemn or Endorse one Envoy Sent by any other player regardless of Net Influence after Influence has been spent, even if it’s a Council Envoy.
high difficulty factions | 8 factions: The Ashen Vale, The Broken Banner, The Forked Tongue, The Hall of Masks, The Smoldering Crown, The Squatters' Crown, The Wandering Crown, The Dukedom
high strength factions | 9 factions: The Merchant Republics, The Sacred Throne, The Verdant Kingdom, The Ancient Wilds, The Bloodied Cross, The Blazing Standard, The Forked Tongue, The Hall of Masks, The Dukedom
Hitching Post | Infrastructure (Primitive). Upkeep 0 (per Settlement), build 2. Craft +1
Hospitaller | Pursuit (Civic). Innate: For every 4 casualties in a Skirmish, Heal 1 at start of next Skirmish / Mastery: Recover improved by +1
how to attack | Resolve battles via the Escalation combat system: muster a Host, Move into an enemy, fight skirmishes (Strike/Parry/Recover) until one side Routs.
how to trade | Build a Dirt Road, border or ally a trade partner, sign a Trade Agreement. Income = 100 x Craft x partners x 0.75. No trade in Spring.
how to win | Win by scoring Edicts: reach a Sovereign Standing, complete a Monument, or fulfill a victory condition (Wonder, wealth, Vassalize, Living Saints, or Last Standing). The game is about playing well, not just winning.
Hunting Bow | Ranged weapon (Crude). AP -1, Init +2. Keywords: 2H, Deadly, Deflect.
Immune [keyword] | Cancels that keyword as it applies to you (e.g. Immune Unwieldy, Strain, Destroy Shield).
Immune Panic | Automatically passes Panic checks.
Imperial Palace | Pursuit (Monument). Innate: Gain Immune Border Tension & Invasion / Mastery: Non-Military Alliance players that border you gain Doubt +2
Improved Parry | Your Parry succeeds on 4+ instead of 5+.
Industry / Domain standing. Rising: Trade Secrets: Perform endorsed Pursuit.; Established: Grand Architect: May have an additional City. Perform endorsed Charter.; Sovereign: Titan of Industry: Your capital may be chartered to a Metropolis. Perform endorsed Charter.
Infirmary | Pursuit (Civic). Mastery: Armies gain Recover or improve by +1
Influence | The political currency of voting. Spend it to Support or Oppose Envoys. You gain it each turn from your Era, innate modifiers (trade partners, alliances, war), Pursuits, and Infrastructure.
Influence X | An automatic +X (or -X) to an Envoy's net Influence from a Pursuit, Infrastructure, or Faction.
infrastructure | Empire-wide structures: Dirt Roads, Hitching Post, Muster Field, Wooden Walls, Stone Roads, Town Hall, Bridges, Garrison, Stone Walls, Keep, Cathedral, Library.
Initiative | Decides who Strikes first each Skirmish (higher first). Runs -2 to +2 (Ministry can raise the maximum to +3). At -2 or lower you Blunder.
Inn | Pursuit (Craft). Innate: Faith +1 for trading partners with Craft 3+ / Mastery: Faith +1
Inquisitorial Palace | Pursuit (Monument). Innate: Doubt +1; Unlocks Grand Vizier which uses your Public Order instead of your Cunning value. / Mastery: Piety Value acts as Cunning Value for Grand Vizier
Interrogation Chambers | Pursuit (Civic). Mastery: Doubt +1 to any player who performs a Cunning action targeting you
Javelin | Ranged weapon (Wrought). AP -3, Init +1. Keywords: Deadly, Steady, Unstoppable, One Shot, Deflect.
Jester's Court | Pursuit (Civic). Mastery: First Oppose on your Envoy: reduce by 1
Jewelry Foundry | Pursuit (Craft). Innate: +200; Craft +2 / Mastery: +500; Influence +2 to Cunning Envoys targeting this player
Joinery | Pursuit (Craft). Innate: +200, unlocks Shields / Mastery: Upkeep -200
Keep | Infrastructure (Sophisticated). Upkeep 50 (â€”), build 4. May Muster from Garrison in addition to normal Muster Limits. If so set Garrison to 0 and Muster Timer 1. Garrison returns to full when resolved.
Kiln | Pursuit (Energy). Innate: +300
Kite Shield | Shield (Cast). Save +1, Init +0. Keywords: Steady.
Knight Templar | Retinue. Strike 3+, Endurance 3, Morale 4+, cost 3000. Unbreakable.
Lance | Melee weapon (Forged). AP -4, Init +1. Keywords: Steady, Unwieldy, Deadly, Unstoppable.
last standing | Win path (Edict): be the last empire standing.
Leather | Armor (Cast). Save 5+. Keywords: none.
Levy | Retinue. Strike 4+, Endurance 3, Morale 5+, cost 1000.
Levy Hall | Pursuit (Power). Innate: Upkeep -200 / Mastery: Upkeep -300
Library | Infrastructure (Sophisticated). Upkeep 50 (per Settlement), build 4. Influence +1 to Council Envoys
living saints | Win path (Edict): a Piety-based victory condition.
Longbow | Ranged weapon (Cast). AP -2, Init +2. Keywords: Deadly, 2H, Deflect.
low difficulty factions | 23 factions: The Battering Ram, The Boundless Steppe, The Bandit King, The Crowned Star, The Crimson Tide, The Entwined Crown, The Eternal Court, The Final Word, The Gilded Crescent, The Gilded Path, The Hermit Crown, The Illuminated Order, The Iron Faith, The Iron Shore, The Iron Throne, The Merchant Republics, The Sacred Throne, The Tunnellers, The Undying Flame, The Verdant Kingdom, The Winter Wolves, The Elder Grove, The Yew Heart
low strength factions | 8 factions: The Bandit King, The Gilded Path, The Hermit Crown, The Tunnellers, The Undying Flame, The Pale Throne, The Ashen Vale, The Broken Banner
Man-at-Arms | Retinue. Strike 3+, Endurance 3, Morale 4+, cost 2000.
Manor House | Pursuit (Monument). Innate: Gain +100 gold for each active natural specialization. / Mastery: Gain +100 gold for each active energy specialization.
Market Square | Pursuit (Craft). Innate: Craft +2 / Mastery: +400
Masonry | Pursuit (Craft). Innate: Build Timer −1 / Mastery: +100; Craft+1
Master Workshop | Pursuit (Craft). Innate: Upkeep -200; Craft +1 / Mastery: Add Serrated to Weapons
Meadery | Pursuit (Craft). Innate: Faith +1, +300 / Mastery: +200,Speed +1 in Winter
medium difficulty factions | 9 factions: The Ancient Wilds, The Bloodied Cross, The Blazing Standard, The Inner Circle, The Luminous Court, The Grand Compact, The Pale Throne, The Sublime Gate, The Velvet Hand
medium strength factions | 23 factions: The Battering Ram, The Boundless Steppe, The Crowned Star, The Crimson Tide, The Entwined Crown, The Eternal Court, The Final Word, The Gilded Crescent, The Illuminated Order, The Iron Faith, The Iron Shore, The Iron Throne, The Winter Wolves, The Inner Circle, The Luminous Court, The Grand Compact, The Sublime Gate, The Velvet Hand, The Smoldering Crown, The Squatters' Crown, The Wandering Crown, The Elder Grove, The Yew Heart
Merchant Quarter | Pursuit (Craft). Innate: +400 / Mastery: Trade Partners gain Craft +1
Metropolis / Settlement (tier 4). Tax 10000, muster 50, build 5, wards 4, reach 4. Capital only, requires Sovereign Industry (Titan of Industry)
Mill | Pursuit (Energy). Innate: +300
Mine | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Ministry of Military Strategy | Pursuit (Monument). Innate: Always gains Seize the Initiative, and your opponent doesn't. Immune -1 to Strike from Tactics. / Mastery: Gain +1I; your maximum initiative increases to 3. Riposte, Destroy Shield, Deadly, & Cleave also trigger on a natural 5.
Monastery | Pursuit (Power). Innate: Influence −1 to Piety actions targeting you / Mastery: Other players cannot Oppose your Piety Envoys
Money Lending | Pursuit (Power). Innate: Extort 500 / Mastery: May loan money to Trade Partners at 100 per 1000/turn interest(minimum 100); on Default: Perform Demand Tribute
Monument | A Domain's capstone Pursuit. Completing one scores its Edict and grants a powerful effect.
monument cap | You may build at most 2 Monuments.
Morale | How steady a retinue is when tested (lower is steadier; see the retinue table). Break and Panic checks roll it: a D6 per retinue in the field, up to 5 dice, each must meet its modified value; failures are casualties. If the modified value is ever 7+, the army Routs.
Morningstar | Melee weapon (Forged). AP -3, Init -1. Keywords: Unwieldy, Destroy Shield, Cleave.
Move | Advance an Army up to its Speed in Territories (Prowess).
Muster | Raise retinues into an Army, up to a Settlement's muster limit (Industry/Prowess).
Muster Field | Infrastructure (Primitive). Upkeep 50 (per Settlement), build 2. Can Muster
Natural roll | The number on the die before any modifiers. Modifiers never change what counts as 'natural'.
Net Influence | The sum of an Envoy's starting Influence (1+ by Standing) and all Support, Oppose, and Influence X. The total sets the outcome: -3 or less Condemned, 0 or less Failed (gain Doubt +1), 1+ passes.
next to | Range 2.
Nimble | Gain +1 Initiative in the first Skirmish of each Battle.
One Shot | May only be Equipped in the first Skirmish of a Battle. Requires a Tiltyard.
Oppose X | Spend X Influence to decrease an Envoy's net Influence.
Orchard | Pursuit (Husbandry). Innate: Natural / Mastery: +400 in Fall
Outlaw Country | Three uncontrollable territories in your starting region where Bandit Camps spawn.
Outrider Intercept Post | Pursuit (Monument). Innate: In the first Skirmish of every Battle, your opponent plays their Tactic Card face up before you select your own. / Mastery: Every Skirmish, you may force your opponent to reveal their Tactic Card they selected before you select your own.
Panic check | Taken at most once per Skirmish by a side that suffered 5 or more casualties in that Skirmish, before it Strikes back. Roll Morale (up to 5 dice); Immune Panic auto-passes.
Parry | Roll a d6 to cancel a Strike before the Save on a 5+ (a natural 6 is a Riposte). -1 versus Unstoppable, versus ranged, and per Fatigue token (to a maximum of 6+).
Passed | Net Influence 1 or more.
Peat Bog | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Perform | When you Perform an action, immediately do the description of the action. Pay the action's normal Cost.
Personal Envoy | An Envoy you send in the Envoy Phase to perform an action; count and reach scale with Era.
Piety / Domain standing. Rising: Divine Mandate: Faith +1.; Established: Prophet of Retribution: All other players gain Doubt +1 while your Public Order is positive.; Sovereign: Pillar of Faith: If your Public Order would go below 3, set it to 3. May use the Crusade action.
Pike | Melee weapon (Wrought). AP -2, Init +1. Keywords: Unwieldy, Deadly, 2H.
Pilgrimage Site | Pursuit (Energy). Innate: Extort 200 every player without a Pilgrimage Site / Mastery: Doubt +1 to all other players without a Pilgrimage Site
Pilum | Ranged weapon (Crafted). AP -5, Init +1. Keywords: Steady, Destroy Shield, Unstoppable, One Shot, Deadly, Deflect.
Pitchfork | Melee weapon (Crude). AP 0, Init +1. Keywords: 2H, Unwieldy.
Planishing | Your armor Save cannot be reduced beyond a 6+.
PO -1 / Public Order -1 (Wavering): No effect
PO -2 / Public Order -2 (Indecisive): -1 Influence
PO -3 / Public Order -3 (Aimless): Speed -1
PO -4 / Public Order -4 (Recession): -1000 Tax Income per Settlement
PO -5 / Public Order -5 (Uprising): Bandit Camp spawns in your Outlaw Country
PO 0 / Public Order 0 (Neutral): No effect
PO 1 / Public Order 1 (Focused): No effect
PO 2 / Public Order 2 (Confident): +1 Influence
PO 3 / Public Order 3 (Motivated): Speed +1
PO 4 / Public Order 4 (Economic Boom): Tax income +500 per settlement
PO 5 / Public Order 5 (Eureka): Activate 1 Mastery
PO 6 / Public Order 6 (Holy): +2 Influence
PO 7 / Public Order 7 (Living Saints): Begin Pious Timer Edict
Poison | A natural 6 to Save against this Retinue's Strikes fails.
Poleaxe | Melee weapon (Crafted). AP -4, Init +0. Keywords: Steady, 2H, Unstoppable, Deadly, Cleave.
powerful factions | See 'high strength factions'.
Preceptory of the Knight's Templar | Pursuit (Monument). Innate: Armies gain Immune Panic / Mastery: Unlocks Knight's Templar for Muster
Province | The collection of Contested Territory and Controlled Territory by your Settlement's Reach.
Prowess / Domain standing. Rising: Indominable: Once per turn, if you have not sent an Envoy, you may perform a Prowess action; send 1 fewer Envoy this turn (min 0). May use Declare War action.; Established: Edict of War: All armies gain Parry. No longer gain Doubt while at War.; Sovereign: High Quartermaster: Upkeep -2000. No longer lose Influence while at War. May change equipment on your armies during any upkeep phase where that army is within Province.
public order | Faith/Doubt scale; each band (from Uprising to high Faith) applies effects. See 'PO <number>' for a specific band.
Pursue | Build a Pursuit, spending its purchase cost and a Settlement ward (Industry).
Quarry | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Range X | The amount of Territories you must move in order to get from your current position to the specific Territory.
Reach | How far a Settlement projects control, in Territories (by tier).
Reach X | The Range X characteristic which determines what Territories you Control and are in your Province.
Realm | The total collection of Regions.
Recoup | Regain the stated cost in gold after paying it.
Recover | If a to-Save roll fails, roll a d6: a result of X+ saves the retinue. Worsened by Fatigue and Serrated, to a maximum of 6+.
Region | A collection of Territories of the same Type.
Reliquary | Pursuit (Civic). Mastery: First Doubt per turn reduced by 1 (min 0)
Renown | The shared progress track. Gain 1 per Rest Phase; thresholds raise your Era (Ascension 8, Eminence 18, Zenith 30).
Repair | Restore damaged Infrastructure or Settlements (Industry).
Resolve | Attempt to Perform an action.
Riposte | If you roll a natural 6 on a Parry from a Melee Weapon's Strike, you Riposte: your opponent immediately takes a Strike from your equipped weapon. You can Riposte a Riposte.
Rout | The army breaks and leaves the Battle (you lose it). Whenever an army's modified Morale value reaches 7 or more, it Routs automatically.
Royal Pavilion | Pursuit (Monument). Innate: Armies gain Immune Strained / Mastery: Armies gain Drilled & Nimble
Saddlery | Pursuit (Husbandry). Innate: +200, Natural / Mastery: Upkeep -200
Salt Works | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Save | The defender's roll to avoid a casualty: roll a D6, add the weapon's AP (a negative) and the shield's Save bonus (a positive); the hit is saved on a result >= the armor value.
Scutum Shield | Shield (Wrought). Save +1, Init -1. Keywords: Unwieldy, -1 to Strike.
seasons | The four seasons: Winter, Spring, Summer, Fall. Each applies a global effect (e.g. Winter = tax + Speed -1).
Secret Cellar | Pursuit (Energy). Mastery: Passed Cunning actions Recoup 500 Gold
Seize the Initiative | Won by the roll-off at the start of the Battle — the winner of their last Battle adds +1 to the roll. You become the Attacker and gain +1 Initiative in the first Skirmish. Some Tactics and the Ministry monument also grant it.
Senate Hall | Pursuit (Monument). Innate: Faith +1, gain +1 Influence per other player per Turn / Mastery: Once/turn: auto-Condemn an At War Envoy OR auto-Endorse an Ally's Envoy
Send an Envoy | Declare a Domain, spend 1 Envoy.
Sergeant | Retinue. Strike 2+, Endurance 3, Morale 4+, cost 2500.
Serrated | Your Strikes worsen the enemy's Recover roll by 1.
settlements | Settlement tiers: Hamlet, Village, Town, City, Metropolis. Each has tax, muster, wards, and reach values.
Shipyard | Pursuit (Craft). Innate: Craft +1 / Mastery: Craft +2; Water Territory treated as Grassland for movement
Short Sword | Melee weapon (Cast). AP -1, Init +0. Keywords: Steady.
Siege | Investing a Settlement with an Army to capture it; does not increment in Winter.
Siege Camp | Pursuit (Power). Innate: Siege Timer −1 / Mastery: Armies gain Immune Strained during Lay Siege
Siege Works | Pursuit (Power). Innate: Siege Timer −1 / Mastery: Siege Timer −1; Sieges Increment in Winter
Skirmish | One round of a Battle, run through the numbered Battle steps; a Battle repeats Skirmishes until it ends.
Smokehouse | Pursuit (Craft). Innate: +300; Craft +1 / Mastery: Upkeep -200
Smuggler's Nook | Pursuit (Secrecy). Innate: — / Mastery: Bandit Camps in your Outlaw Country don't target you and target other players instead randomly; no Doubt +1 per Bandit Camp in Outlaw Country
Spears | Melee weapon (Cast). AP -1, Init +1. Keywords: Unwieldy.
Speed | An Army's movement allowance in Territories per Move action.
Spice Merchant | Pursuit (Craft). Innate: +300; Influence +1 to Cunning Envoys targeting you / Mastery: +500; Craft +2
Spring / Season (Planting). No Host, Bandits, Trade Income, Council Phase, or Diplomacy Actions. Gain +1 Envoy.
Stable | Pursuit (Civic). Innate: Speed +1 / Mastery: Speed +1; Unlocks Cavalry Weapons
Standing | Your tier in a Domain: Untested, Rising (3), Established (6), Sovereign (10). Sets max Influence per vote (1/2/3/4) and unlocks Domain effects.
Steady | Initiative cannot be reduced by Tactics.
Stone Roads | Infrastructure (Developed). Upkeep 50 (per Settlement), build 3. Ignore Terrain Speed Modifiers; if you start turn on Stone Road gain Speed +2; replaces Dirt Roads
Stone Walls | Infrastructure (Sophisticated). Upkeep 50 (per Settlement), build 4. Influence -1 to Destabilize actions targeting your settlements
